DataTime,UNIQUEID,DeviceType,Company,DeviceID,Flag,FilterFlag,EvelationFlag,Satellite,Heading,Speed,EvelationUnit,Evelation,Status,Event,Longitude,Latitude,BJ-Longitude,BJ-Latitude,TimeStamp
1427817600,201503312359_126_6512_7283882,1,33010001,,0,0,0,0,0,1,0,50,0,4,1200835800,301624850,1200883888,301602032,1427817538
1427817600,201503312359_126_6512_7283883,1,33010001,21752,0,0,0,0,135,0,0,50,0,4,1200946000,302852500,1200994148,302829808,1427838402
1427817600,201503312359_126_6512_7283884,1,33010001,18305,0,0,0,0,0,1,0,50,1,4,1201847800,302364700,1201893834,302340829,1427817538
1427817600,201503312359_126_6512_7283885,1,33010001,22090,0,0,0,0,180,15,0,50,0,4,1201238170,302698330,1201285899,302675491,1427838402
1427817600,201503312359_126_6512_7283886,1,33010001,22955,0,0,0,0,45,0,0,50,0,4,1200458670,302505830,1200506528,302482506,1427838401
1427817600,201503312359_126_6512_7283887,1,33010001,,0,0,0,0,0,9,0,50,0,4,1201891100,303485320,1201937102,303461496,1427817538
1427817600,201503312359_126_6512_7283888,1,33010001,,0,0,0,0,0,0,0,50,1,4,1201146900,302841070,1201194810,302818322,1427817539
1427817600,201503312359_126_6512_7283889,1,33010001,13803,0,0,0,0,20,11,0,50,1,4,1201366960,302855760,1201414412,302832779,1427817538
1427817600,201503312359_126_6512_7283890,1,33010001,01381,0,0,0,0,70,25,0,50,0,4,1201439360,302861770,1201486626,302838681,1427817537
1427817600,201503312359_126_6512_7283891,1,33010001,21585,0,0,0,0,135,41,0,50,0,4,1201412170,302893170,1201459510,302870127,1427838401
1427817600,201503312359_126_6512_7283892,1,33010001,,0,0,0,0,290,3,0,50,0,4,1190496200,296102600,1190548126,296078670,1427817538
1427817600,201503312359_126_6512_7283893,1,33010001,,0,0,0,0,360,85,0,50,1,4,1201400200,303377480,1201447612,303354516,1427817525
1427817600,201503312359_126_6512_7283895,1,33010001,21041,0,0,0,0,170,31,0,50,1,4,1201603550,302892130,1201650354,302868761,1427817538
1427817600,201503312359_126_6512_7283896,1,33010001,201153,0,0,0,0,60,2,0,50,0,4,1201857450,303460730,1201903547,303436962,1427817538
1427817600,201503312359_126_6512_7283897,1,33010001,24130,0,0,0,0,180,2,0,50,0,4,1201507670,303141500,1201554772,303118331,1427838402
1427817600,201503312359_126_6512_7283898,1,33010001,23123,0,0,0,0,225,35,0,50,1,4,1201683170,303128670,1201729757,303105181,1427825869
1427817600,201503312359_126_6512_7283899,1,33010001,15038,0,0,0,0,250,37,0,50,0,4,1202442250,303497920,1202487119,303473490,1427817538
1427817600,201503312359_126_6512_7283900,1,33010001,,0,0,0,0,0,0,0,50,0,4,1201107300,303238140,1201155305,303215464,1427817538
1427817600,201503312359_126_6512_7283901,1,33010001,01234,0,0,0,0,320,2,0,50,0,4,1202520600,303268170,1202565386,303243702,1427817538
1427817600,201503312359_126_6512_7283902,1,33010001,,0,0,0,0,350,32,0,50,0,4,1201641540,302672670,1201688213,302649209,1427817538
1427817600,201503312359_126_6512_7283903,1,33010001,20788,0,0,0,0,40,0,0,50,1,4,1202368300,302929060,1202413208,302904579,1427817538
1427817600,201503312359_126_6512_7283904,1,33010001,15006,0,0,0,0,90,0,0,50,0,4,1201906100,302495690,1201951977,302471724,1427817538
1427817600,201503312359_126_6512_7283905,1,33010001,,0,0,0,0,350,1,0,50,0,4,1200754500,302629760,1200802666,302606933,1427817538
1427817600,201503312359_126_6512_7283906,1,33010001,03350,0,0,0,0,0,0,0,50,0,4,1201458700,303769040,1201505991,303746049,1427817538
1427817600,201503312359_126_6512_7283907,1,33010001,21183,0,0,0,0,0,0,0,50,1,4,1201270100,303303500,1201317814,303280697,1427817538
1427817600,201503312359_126_6512_7283908,1,33010001,23151,0,0,0,0,45,41,0,50,1,4,1201679170,303100000,1201725767,303076515,1427838397
1427817600,201503312359_126_6512_7283909,1,33010001,22443,0,0,0,0,135,10,0,50,1,4,1200912000,303134670,1200960192,303112002,1427838401
1427817600,201503312359_126_6512_7283910,1,33010001,24110,0,0,0,0,0,0,0,50,0,4,1201126670,303175170,1201174641,303152474,1427838401
1427817600,201503312359_126_6512_7283911,1,33010001,,0,0,0,0,0,0,0,50,1,4,1201107250,302924400,1201155229,302901685,1427817538
1427817600,201503312359_126_6512_7283912,1,33010001,16210,0,0,0,0,140,11,0,50,1,4,1202026200,302416630,1202071746,302392460,1427817538
1427817600,201503312359_126_6512_7283913,1,33010001,113146,0,0,0,0,330,1,0,50,0,4,1201880900,302378270,1201926839,302354340,1427817534
1427817600,201503312359_126_6512_7283914,1,33010001,23464,0,0,0,0,0,0,0,50,1,4,1201797670,302814000,1201843889,302790260,1427838401
1427817600,201503312359_126_6512_7283915,1,33010001,01168,0,0,0,0,110,0,0,50,0,4,1204255750,302326500,1204301363,302303687,1427817538
1427817600,201503312359_126_6512_7283916,1,33010001,19223,0,0,0,0,0,0,0,50,1,4,1202624300,303130040,1202669032,303105583,1427817538
1427817600,201503312359_126_6512_7283917,1,33010001,01813,0,0,0,0,70,0,0,50,1,4,1202362500,303511470,1202407463,303487070,1427817536
1427817600,201503312359_126_6512_7283918,1,33010001,01385,0,0,0,0,50,3,0,50,0,4,1201133350,303184600,1201181311,303161901,1427817538
1427817600,201503312359_126_6512_7283919,1,33010001,202245,0,0,0,0,90,6,0,50,0,4,1202237100,303130340,1202282234,303105977,1427817538
1427817600,201503312359_126_6512_7283920,1,33010001,24386,0,0,0,0,135,49,0,50,0,4,1201023170,302916000,1201071255,302893314,1427838402
1427817600,201503312359_126_6512_7283921,1,33010001,09989,0,0,0,0,80,0,0,50,0,4,1201047200,303232880,1201095285,303210227,1427817538
1427817600,201503312359_126_6512_7283922,1,33010001,25884,0,0,0,0,110,1,0,50,0,4,1202097800,302983230,1202143217,302959010,1427817538
1427817600,201503312359_126_6512_7283923,1,33010001,01956,0,0,0,0,180,31,0,50,0,4,1201869050,303471410,1201915114,303447623,1427817538
1427817600,201503312359_126_6512_7283924,1,33010001,25981,0,0,0,0,180,45,0,50,0,4,1202164000,303236180,1202209289,303211908,1427817531
