"GEO_ID","NAME","B03002_001E","B03002_001EA","B03002_001M","B03002_001MA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003EA","B03002_003M","B03002_003MA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005EA","B03002_005M","B03002_005MA","B03002_006E","B03002_006EA","B03002_006M","B03002_006MA","B03002_007E","B03002_007M","B03002_007MA","B03002_007EA","B03002_008E","B03002_008EA","B03002_008M","B03002_008MA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010EA","B03002_010M","B03002_010MA","B03002_011E","B03002_011EA","B03002_011M","B03002_011MA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013EA","B03002_013M","B03002_013MA","B03002_014E","B03002_014EA","B03002_014M","B03002_014MA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016M","B03002_016MA","B03002_016EA","B03002_017E","B03002_017EA","B03002_017M","B03002_017MA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019EA","B03002_019M","B03002_019MA","B03002_020E","B03002_020M","B03002_020MA","B03002_020EA","B03002_021E","B03002_021M","B03002_021MA","B03002_021EA",
"1400000US06001442000","Census Tract 4420, Alameda County, California","3299","null","474","null","2857","null","381","null","562","null","135","null","4","5","null","null","12","null","17","null","2172","null","395","null","37","32","null","null","0","null","13","null","70","null","63","null","0","null","13","null","70","null","63","null","442","298","null","null","411","null","298","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","29","null","40","null","2","null","5","null","2","5","null","null","0","13","null","null",
"1400000US06001442100","Census Tract 4421, Alameda County, California","5476","null","702","null","5416","null","696","null","675","null","168","null","78","65","null","null","21","null","27","null","4479","null","708","null","29","41","null","null","15","null","21","null","119","null","111","null","98","null","107","null","21","null","25","null","60","49","null","null","42","null","40","null","18","null","26","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","19","null","null",
"1400000US06001442200","Census Tract 4422, Alameda County, California","7440","null","829","null","7125","null","802","null","1109","null","283","null","373","322","null","null","25","null","31","null","5460","null","803","null","3","7","null","null","33","null","54","null","122","null","86","null","0","null","19","null","122","null","86","null","315","217","null","null","88","null","71","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","66","null","76","null","161","null","162","null","159","162","null","null","2","4","null","null",
"1400000US06001442301","Census Tract 4423.01, Alameda County, California","5443","null","622","null","4356","null","505","null","1096","null","396","null","207","152","null","null","49","null","54","null","2701","null","305","null","46","48","null","null","0","null","19","null","257","null","171","null","66","null","74","null","191","null","153","null","1087","398","null","null","547","null","378","null","0","null","19","null","0","null","19","null","0","19","null","null","8","null","14","null","440","null","274","null","92","null","86","null","17","18","null","null","75","85","null","null",
"1400000US06001442302","Census Tract 4423.02, Alameda County, California","6342","null","736","null","5550","null","533","null","909","null","273","null","221","185","null","null","22","null","22","null","4075","null","555","null","0","19","null","null","129","null","200","null","194","null","100","null","0","null","19","null","194","null","100","null","792","500","null","null","157","null","81","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","579","null","496","null","56","null","42","null","45","40","null","null","11","13","null","null",
"1400000US06001442400","Census Tract 4424, Alameda County, California","6578","null","980","null","5304","null","1022","null","1485","null","371","null","232","257","null","null","16","null","18","null","3487","null","973","null","0","19","null","null","0","null","19","null","84","null","61","null","0","null","19","null","84","null","61","null","1274","284","null","null","396","null","240","null","0","null","19","null","32","null","43","null","0","19","null","null","0","null","19","null","765","null","285","null","81","null","65","null","58","51","null","null","23","38","null","null",
"1400000US06001442501","Census Tract 4425.01, Alameda County, California","3759","null","624","null","2961","null","596","null","702","null","404","null","16","28","null","null","0","null","13","null","2017","null","509","null","0","13","null","null","0","null","13","null","226","null","178","null","0","null","13","null","226","null","178","null","798","500","null","null","109","null","131","null","16","null","27","null","16","null","27","null","0","13","null","null","0","null","13","null","480","null","444","null","177","null","136","null","44","72","null","null","133","130","null","null",
"1400000US06001442502","Census Tract 4425.02, Alameda County, California","3903","null","702","null","2754","null","448","null","597","null","163","null","69","90","null","null","20","null","24","null","1905","null","481","null","52","93","null","null","17","null","29","null","94","null","78","null","0","null","13","null","94","null","78","null","1149","590","null","null","254","null","201","null","0","null","13","null","13","null","23","null","21","41","null","null","0","null","13","null","820","null","611","null","41","null","45","null","3","6","null","null","38","45","null","null",
"1400000US06001442601","Census Tract 4426.01, Alameda County, California","4040","null","903","null","2767","null","304","null","1279","null","202","null","15","25","null","null","0","null","13","null","1337","null","248","null","22","30","null","null","0","null","13","null","114","null","73","null","6","null","10","null","108","null","71","null","1273","865","null","null","190","null","103","null","0","null","13","null","11","null","16","null","0","13","null","null","0","null","13","null","988","null","864","null","84","null","72","null","58","59","null","null","26","39","null","null",
"1400000US06001442602","Census Tract 4426.02, Alameda County, California","5113","null","612","null","3858","null","561","null","1213","null","241","null","640","518","null","null","30","null","39","null","1793","null","398","null","0","19","null","null","0","null","19","null","182","null","125","null","27","null","42","null","155","null","114","null","1255","340","null","null","264","null","172","null","0","null","19","null","0","null","19","null","8","12","null","null","0","null","19","null","955","null","365","null","28","null","27","null","12","21","null","null","16","20","null","null",
