CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
9136417,2,1,3,F,74,3,-,-,-,-,ALAMEDA,OAKLAND,2020
9182549,1,1,3,M,2,3,-,-,-,-,ALAMEDA,OAKLAND,2020
9336014,2,1,3,-,46,4,-,-,-,0,ALAMEDA,OAKLAND,2021
8553107,1,1,4,M,54,4,9,V,-,3,ALAMEDA,OAKLAND,2018
8553107,2,1,2,M,43,0,3,M,G,0,ALAMEDA,OAKLAND,2018
8613211,2,1,3,M,44,4,9,-,-,3,ALAMEDA,OAKLAND,2018
8830182,2,1,3,F,60,4,9,-,-,0,ALAMEDA,OAKLAND,2019
8875001,1,1,3,M,75,4,9,-,-,3,ALAMEDA,OAKLAND,2018
8945875,2,1,3,-,69,4,9,-,-,3,ALAMEDA,OAKLAND,2019
9092429,2,1,3,F,37,4,-,-,-,0,ALAMEDA,OAKLAND,2020
9431965,1,1,4,M,33,4,1,P,V,2,ALAMEDA,OAKLAND,2022
9431965,2,1,1,M,35,3,1,P,W,2,ALAMEDA,OAKLAND,2022
9457745,1,1,2,M,20,0,3,M,G,0,ALAMEDA,OAKLAND,2022
9457745,2,1,3,M,75,2,-,-,-,0,ALAMEDA,OAKLAND,2022
9491188,2,1,3,M,29,3,-,-,-,0,ALAMEDA,OAKLAND,2022
9523819,2,1,4,M,54,3,-,-,W,0,ALAMEDA,OAKLAND,2022
9540167,2,1,3,M,18,4,-,P,-,0,ALAMEDA,OAKLAND,2022
9540167,3,1,3,F,24,2,-,P,-,0,ALAMEDA,OAKLAND,2022
8629992,1,1,3,M,55,3,9,-,-,0,ALAMEDA,OAKLAND,2018
8653982,2,1,3,F,32,4,9,-,-,0,ALAMEDA,OAKLAND,2018
9010501,2,1,3,F,52,4,9,-,-,0,ALAMEDA,OAKLAND,2019
9036857,2,1,3,-,60,4,9,-,-,0,ALAMEDA,OAKLAND,2019
9064728,2,1,3,M,28,4,-,-,-,-,ALAMEDA,OAKLAND,2020
9207637,2,1,4,M,36,2,1,-,V,1,ALAMEDA,OAKLAND,2020
9382002,2,1,3,F,51,2,-,N,B,0,ALAMEDA,OAKLAND,2021
9586665,1,1,2,F,29,0,4,M,G,0,ALAMEDA,OAKLAND,2022
9586665,1,2,2,F,25,0,3,M,G,0,ALAMEDA,OAKLAND,2022
9586665,1,3,2,-,45,0,6,M,G,0,ALAMEDA,OAKLAND,2022
9586665,1,4,2,M,42,0,5,M,G,0,ALAMEDA,OAKLAND,2022
9586665,2,1,3,F,25,4,-,M,-,0,ALAMEDA,OAKLAND,2022
8641303,1,1,2,F,998,0,9,-,-,3,ALAMEDA,OAKLAND,2018
8641303,2,1,4,F,39,4,9,P,V,1,ALAMEDA,OAKLAND,2018
